              Australian Bureau of Statistics,,,,,,,,,,,
"31010do002_202312 National, state and territory population, Dec 2023",,,,,,,,,,,
Released at 11:30 am (Canberra time) Thu 13 Jun 2024,,,,,,,,,,,
"Table 8 Estimated resident population, by age and sex–at 30 June 2023",,,,,,,,,,,
Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,,
MALES,,,,,,,,,,,
0,"48,455","39,045","31,151","9,733","16,048","2,824","1,744","2,751","151,773",,
1,"51,205","40,017","32,748","10,124","17,488","2,947","1,703","2,823","159,071",,
2,"48,949","39,643","31,314","10,162","17,643","3,023","1,763","2,695","155,219",,
3,"48,491","39,319","31,510","9,919","17,577","3,026","1,713","2,615","154,199",,
4,"49,898","40,112","32,512","10,103","18,247","3,100","1,787","2,743","158,527",,
0-4,"246,998","198,136","159,235","50,041","87,003","14,920","8,710","13,627","778,789",,
5,"49,606","40,820","32,800","10,432","18,485","3,122","1,787","2,700","159,779",,
6,"50,795","41,584","33,655","10,544","18,962","3,200","1,799","2,947","163,514",,
7,"52,067","42,893","34,863","10,908","19,376","3,311","1,812","2,987","168,240",,
8,"51,906","42,311","35,268","10,893","19,025","3,254","1,847","3,025","167,557",,
9,"52,371","42,600","35,996","11,158","18,906","3,303","1,811","2,994","169,178",,
5-9,"256,745","210,208","172,582","53,935","94,754","16,190","9,056","14,653","828,268",,
10,"53,348","42,966","36,465","11,260","19,035","3,325","1,793","2,932","171,154",,
11,"53,541","42,278","36,356","11,335","18,823","3,331","1,818","2,873","170,393",,
12,"52,988","41,501","36,597","11,105","19,034","3,513","1,780","2,910","169,469",,
13,"53,350","41,806","37,150","11,442","18,913","3,498","1,807","2,961","170,954",,
14,"52,740","41,579","37,475","11,242","18,786","3,629","1,719","2,771","169,984",,
10-14,"265,967","210,130","184,043","56,384","94,591","17,296","8,917","14,447","851,954",,
15,"52,574","41,573","37,516","11,203","18,858","3,600","1,742","2,684","169,780",,
16,"52,241","41,524","37,048","11,178","18,676","3,607","1,625","2,699","168,629",,
17,"50,157","39,827","35,419","10,893","17,738","3,460","1,563","2,692","161,778",,
18,"50,953","40,591","34,676","10,759","17,246","3,300","1,626","2,778","161,949",,
19,"53,952","43,265","34,264","11,427","17,571","3,083","1,757","2,922","168,256",,
15-19,"259,877","206,780","178,923","55,460","90,089","17,050","8,313","13,775","830,392",,
20,"55,200","43,874","33,613","11,307","17,136","2,981","1,797","3,370","169,290",,
21,"55,202","44,744","34,468","11,550","17,386","2,992","1,716","3,505","171,573",,
22,"57,926","47,738","36,424","12,011","18,435","3,159","1,771","3,694","181,174",,
23,"60,331","49,208","37,247","12,559","19,091","3,297","1,844","3,932","187,532",,
24,"59,496","49,332","37,105","12,474","19,726","3,301","1,951","3,966","187,372",,
20-24,"288,155","234,896","178,857","59,901","91,774","15,730","9,079","18,467","896,941",,
25,"59,861","50,133","37,624","12,722","20,028","3,376","2,159","3,912","189,843",,
26,"60,710","52,097","37,650","12,770","20,446","3,573","2,192","3,784","193,260",,
27,"60,652","53,145","38,336","13,071","20,721","3,852","2,268","4,044","196,116",,
28,"61,673","54,058","38,548","13,140","21,249","4,180","2,409","4,349","199,643",,
29,"61,074","53,413","38,524","12,556","21,022","4,265","2,346","4,280","197,523",,
25-29,"303,970","262,846","190,682","64,259","103,466","19,246","11,374","20,369","976,385",,
30,"60,972","52,912","38,350","12,725","20,672","4,228","2,362","4,373","196,627",,
31,"61,181","52,374","37,877","12,509","21,081","4,219","2,367","4,127","195,772",,
32,"61,820","53,014","38,532","12,833","21,609","4,185","2,457","4,129","198,617",,
33,"61,967","52,954","38,341","12,647","21,892","4,089","2,539","4,130","198,590",,
34,"60,684","52,464","37,436","12,570","22,026","3,995","2,363","3,911","195,473",,
30-34,"306,624","263,718","190,536","63,284","107,280","20,716","12,088","20,670","985,079",,
35,"59,406","52,256","36,943","12,329","21,995","3,787","2,285","3,704","192,755",,
36,"59,251","52,155","37,074","12,390","22,182","3,791","2,233","3,777","192,891",,
37,"59,938","51,912","37,488","12,466","22,376","3,709","2,218","3,827","193,971",,
38,"59,465","51,468","37,118","12,529","22,235","3,631","1,970","3,648","192,098",,
39,"58,985","50,508","37,211","12,468","22,005","3,524","2,097","3,704","190,542",,
